record_timestamp,name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,geometry.type,geometry.coordinates,lat,lng
2024-04-16T12:27:00.395Z,Place de Barcelone - Mirabeau,16030,0,0,"[48.847623027364, 2.2735664248466]",2024-04-10T18:54:42+00:00,0,2,55,0,1,Paris,NON,Point,"[2.2735664248466, 48.847623027364]",48.847623027364,2.2735664248466
2024-04-16T12:27:00.395Z,Hôpital - Campo-Formio,13011,1,2,"[48.835405, 2.358218]",2024-04-16T12:20:03+00:00,3,3,7,1,1,Paris,OUI,Point,"[2.358218, 48.835405]",48.835405,2.358218
2024-04-16T12:27:00.395Z,Gallieni - Lycée Charles Petitet,23902,1,10,"[48.927640283627, 2.3308986340524]",2024-04-16T12:19:55+00:00,11,33,45,1,1,Villeneuve-la-Garenne,OUI,Point,"[2.3308986340524, 48.927640283627]",48.927640283627,2.3308986340524
2024-04-16T12:27:00.395Z,Porte d'Italie,13033,1,1,"[48.817161987718954, 2.360236309468746]",2024-04-16T12:20:10+00:00,2,11,13,1,1,Paris,OUI,Point,"[2.360236309468746, 48.817161987718954]",48.817161987718954,2.360236309468746
2024-04-16T12:27:00.395Z,Vitruve - Davout,20122,0,1,"[48.86053161154489, 2.4091592812626543]",2024-04-16T12:15:25+00:00,1,22,23,1,1,Paris,OUI,Point,"[2.4091592812626543, 48.86053161154489]",48.86053161154489,2.4091592812626543
2024-04-16T12:27:00.395Z,Place Nationale - Château-des-Rentiers,13126,6,6,"[48.829268, 2.365212]",2024-04-16T12:22:00+00:00,12,4,18,1,1,Paris,OUI,Point,"[2.365212, 48.829268]",48.829268,2.365212
2024-04-16T12:27:00.395Z,Quai aux Fleurs - Pont Saint-Louis,4003,7,12,"[48.85291595620935, 2.352195717394352]",2024-04-16T12:21:08+00:00,19,2,21,1,1,Paris,OUI,Point,"[2.352195717394352, 48.85291595620935]",48.85291595620935,2.352195717394352
2024-04-16T12:27:00.395Z,Place de Lévis,17015,4,0,"[48.883546851533254, 2.3131933808326726]",2024-04-16T12:20:55+00:00,4,43,48,1,1,Paris,OUI,Point,"[2.3131933808326726, 48.883546851533254]",48.883546851533254,2.3131933808326726
2024-04-16T12:27:00.395Z,Arcole - Notre-Dame,4001,4,9,"[48.853883541328, 2.3493797332048]",2024-04-16T12:20:58+00:00,13,18,31,1,1,Paris,OUI,Point,"[2.3493797332048, 48.853883541328]",48.853883541328,2.3493797332048
2024-04-16T12:27:00.395Z,Théâtre de La Garenne,22501,5,8,"[48.905658361454, 2.2345951981176]",2024-04-16T12:20:49+00:00,13,4,20,1,1,La Garenne-Colombes,OUI,Point,"[2.2345951981176, 48.905658361454]",48.905658361454,2.2345951981176
2024-04-16T12:27:00.395Z,Place de l'Insurrection d'Août 1944,42003,1,23,"[48.81477852751594, 2.398074567317963]",2024-04-16T12:20:41+00:00,24,6,30,1,1,Ivry-sur-Seine,OUI,Point,"[2.398074567317963, 48.81477852751594]",48.81477852751594,2.398074567317963
2024-04-16T12:27:00.395Z,Quai de la Gare - Pont de Bercy,13128,14,14,"[48.83730787972, 2.3740861260598]",2024-04-16T12:21:28+00:00,28,2,30,1,1,Paris,OUI,Point,"[2.3740861260598, 48.83730787972]",48.83730787972,2.3740861260598
